id,neighborhood,room_type,price,minimum_nights,availability_365,host_id
38388360,Brighton,Private room,60,91,365,200455160
38391365,Allston,Private room,99,1,71,290984032
38391507,Allston,Private room,99,1,62,290984032
38399904,Fenway,Entire home/apt,2000,2,168,275849638
38401070,Allston,Private room,99,1,65,290984032
38401377,Allston,Private room,99,1,63,290984032
38407434,South End,Private room,130,2,2,32532791
38412630,Allston,Private room,99,1,57,218525774
38412675,Allston,Private room,50,1,63,218525774
38412757,Allston,Private room,50,1,69,218525774
38413420,Allston,Entire home/apt,198,91,180,292701454
38422629,Back Bay,Entire home/apt,170,2,356,285344759
38426005,North End,Entire home/apt,139,32,16,107434423
38432874,Back Bay,Entire home/apt,170,2,4,285344759
38433315,Bay Village,Private room,140,2,226,285344759
38457793,Downtown,Entire home/apt,199,1,58,212359760
38460791,Dorchester,Entire home/apt,575,2,323,39266840
38478553,North End,Entire home/apt,189,32,331,107434423
38479825,Dorchester,Private room,54,91,0,193127194
38482523,Roslindale,Private room,50,28,159,69267172
38485772,Mission Hill,Entire home/apt,279,28,365,30283594
38487354,North End,Entire home/apt,125,32,339,107434423
38513768,Back Bay,Entire home/apt,178,32,334,107434423
38513869,Back Bay,Entire home/apt,196,32,291,107434423
38541446,Back Bay,Entire home/apt,200,32,270,107434423
38593919,Dorchester,Private room,95,2,353,39266840
38601073,Beacon Hill,Entire home/apt,162,2,310,224829568
38602212,Beacon Hill,Entire home/apt,183,2,350,224829568
38603524,Beacon Hill,Entire home/apt,191,2,314,224829568
38607597,Brighton,Entire home/apt,200,2,76,3549023
38618674,North End,Entire home/apt,199,91,95,5803565
38625988,South Boston,Private room,65,91,364,26704689
38627266,South Boston,Private room,80,91,364,26704689
38643550,Back Bay,Entire home/apt,299,1,62,212359760
38647730,East Boston,Entire home/apt,120,1,4,272593664
38662530,North End,Entire home/apt,175,2,71,285713352
38666086,Brighton,Private room,69,1,78,22103867
38666956,Beacon Hill,Entire home/apt,171,2,300,224829568
38666959,Beacon Hill,Entire home/apt,180,2,350,224829568
38670469,South End,Entire home/apt,299,1,93,295459380
38689783,East Boston,Entire home/apt,95,1,149,29941508
38694577,South End,Entire home/apt,100,29,0,1462158
38697559,Jamaica Plain,Private room,200,91,360,28299940
38723187,Fenway,Entire home/apt,319,29,180,9419684
38730599,Hyde Park,Entire home/apt,70,91,180,296178743
38743863,North End,Entire home/apt,180,32,336,107434423
38745848,North End,Private room,149,1,85,247264618
38745912,North End,Private room,159,1,43,247264618
38746016,North End,Private room,159,1,56,247264618
38746119,North End,Private room,199,1,34,247264618
38746196,North End,Private room,249,1,34,247264618
38749439,Fenway,Entire home/apt,359,29,0,9419684
38760011,Brighton,Entire home/apt,295,91,355,263752104
38760215,Roslindale,Entire home/apt,120,1,90,16541124
38765483,Mission Hill,Entire home/apt,149,32,265,107434423
38767937,Fenway,Entire home/apt,226,32,255,107434423
38770785,South End,Entire home/apt,100,28,148,110962943
38772130,North End,Entire home/apt,189,32,319,107434423
38777969,South End,Entire home/apt,126,1,8,9428393
38796436,North End,Entire home/apt,226,32,326,107434423
38798321,Bay Village,Entire home/apt,165,2,230,285344759
38839991,North End,Entire home/apt,185,32,364,107434423
38841560,Downtown,Entire home/apt,110,30,2,224829568
38841613,Downtown,Entire home/apt,107,30,10,224829568
38845973,Downtown,Entire home/apt,85,30,0,224829568
38846150,Downtown,Entire home/apt,107,30,0,224829568
38846151,Downtown,Entire home/apt,85,30,56,224829568
38846154,Downtown,Entire home/apt,699,91,365,224829568
38847062,Downtown,Entire home/apt,85,30,0,224829568
